,appID,Score
0,10,"(0.7534045102260514, 0.9215938696043222)"
1,1007040,"(0.7768898881676463, 0.8616701603237746)"
2,10090,"(0.8339606981040649, 0.9041933167659542)"
3,1009850,"(0.8747372006161175, 0.6080419245276133)"
4,1011510,"(0.8742809734808299, 0.8790619379089277)"
5,1013320,"(0.835447466887996, 0.9085397685088769)"
6,1017100,"(0.4365797742404687, 0.939989243648835)"
7,1017180,"(0.7916089344016403, 0.8506899956906193)"
8,1017900,"(0.8693358171825271, 0.8793135811996531)"
9,10180,"(0.893920059001596, 0.9191440425896092)"
10,10190,"(0.9436346558981495, 0.982041168993367)"
11,1022450,"(0.9149780513480968, 0.8429316738785539)"
12,1029550,"(0.9362544270550002, 0.9997881154082354)"
13,1030830,"(0.9087395173609815, 0.8030896842147662)"
14,1041320,"(0.9402601322743074, 0.9490549749516676)"
15,1042550,"(0.5603027274632534, 0.9198243311903208)"
16,1042800,"(0.7477303540685042, 0.9362064900835158)"
17,1046930,"(0.7019291673750903, 0.8666698694462309)"
18,10500,"(0.8925692378169826, 0.7607713697128319)"
19,105450,"(0.8576497264441693, 0.8728195841057069)"
20,1057090,"(0.788752890591776, 0.7396936072370288)"
21,1066780,"(0.8286329622735602, 0.7586146189491222)"
22,1066890,"(0.9116123718029852, 0.8629977873096941)"
23,1068820,"(0.9383568658838604, 0.41293047542913597)"
24,1072040,"(0.8436059316434775, 0.7981875524667854)"
25,1072420,"(0.7233798867157217, 0.9137906219370717)"
26,107410,"(0.8560189574756174, 0.9049291475576031)"
27,1080110,"(0.8737511202504302, 0.7599326103628841)"
28,108200,"(0.8661030913268126, 0.9727774094763151)"
29,1085660,"(0.8593722398247654, 0.8208539454893293)"
30,108600,"(0.7521993754511864, 0.9197034391724995)"
31,1087280,"(0.8077612504861167, 0.9644166579278481)"
32,1089090,"(0.6399707349696586, 0.9763769839323652)"
33,1089350,"(0.4179269239427995, 0.9667940977067264)"
34,1094780,"(0.8663723367431045, 0.901508915188338)"
35,109600,"(0.8929454638937931, 0.8007486531335408)"
36,1097840,"(0.7731242764572592, 0.8977844052154362)"
37,1100600,"(0.613822252645873, 0.8646312232669683)"
38,1100620,"(0.7774809832019784, 0.8892342802613129)"
39,11020,"(0.8474703983019698, 0.9002700903236789)"
40,1102190,"(0.762181854016118, 0.8865339799896367)"
41,1105420,"(0.8711320168805613, 0.8712372683000051)"
42,110800,"(0.9135000277062179, 0.780504453681272)"
43,1113000,"(0.8272787901466652, 0.8548254456096677)"
44,1118200,"(0.8136804340817201, 0.8944776489147067)"
45,1127400,"(0.8268270882890159, 0.8359754446231007)"
46,1128810,"(0.8656626338377438, 0.8088501561718295)"
47,113200,"(0.6745855988016898, 0.8595628090737519)"
48,113400,"(0.7615081984744544, 0.9198560253401681)"
49,1144170,"(0.8639050624602347, 0.9106232200986727)"
50,1145360,"(0.5868830339755183, 0.931499134544151)"
51,1147560,"(0.4687849535396511, 0.9608001523950066)"
52,1147660,"(0.8203483618563019, 0.9929692671241132)"
53,1147690,"(0.6548081309789984, 0.970906800792931)"
54,1150640,"(0.8310418682177659, 0.9147659827287336)"
55,1151340,"(0.8179035849137822, 0.8026993058913491)"
56,1160750,"(0.8449469365889553, 0.876492681418596)"
57,1161580,"(0.7945314980721503, 0.8922052024595895)"
58,1162520,"(0.6404644591060615, 0.9132787493725735)"
59,1172380,"(0.8013117748974528, 0.8451456530583288)"
60,1172620,"(0.7764203734062893, 0.8293848509182737)"
61,1174180,"(0.8770971070949446, 0.841415275710238)"
62,1175730,"(0.8284996859645595, 0.8553236046902201)"
63,1178400,"(0.7977257504647495, 0.8702626645890128)"
64,1180380,"(0.8985992390955889, 0.8366338811226688)"
65,1183940,"(0.7180427691071474, 0.9081877948230597)"
66,1190460,"(0.834850216271629, 0.8113638532648448)"
67,1199030,"(0.7592550919891679, 0.9524305567678092)"
68,1209040,"(0.8388917193621399, 0.8125037070383415)"
69,12110,"(0.8916182928769132, 0.8774917353939384)"
70,1211020,"(0.8736887987462246, 0.7959590511032587)"
71,12120,"(0.8904034364979962, 0.884502956236206)"
72,1213210,"(0.7803711902770554, 0.8310921366535851)"
73,1213740,"(0.9603127300948585, 0.9998664251334413)"
74,1215390,"(0.9381013253483248, 0.9015447560754889)"
75,1217060,"(0.5433848350596857, 0.9511565276520167)"
76,12210,"(0.8664242225785358, 0.8619635118768396)"
77,1222140,"(0.73140631402148, 0.7710573601975412)"
78,1222670,"(0.8727094503762636, 0.626642381401675)"
79,1222680,"(0.842018195828437, 0.8045263136107196)"
80,1222690,"(0.8204609560979212, 0.7884109224152618)"
81,1222700,"(0.7295595748871598, 0.8896649903367615)"
82,1222800,"(0.829284563539129, 0.8727757422523895)"
83,1237950,"(0.7208993635211349, 0.8337715827940915)"
84,1237970,"(0.7524754604030723, 0.8959512720251941)"
85,1238000,"(0.8040651052287541, 0.8742475586930973)"
86,1238040,"(0.8414682713571053, 0.7788388417955427)"
87,1238060,"(0.8313797412761131, 0.8992913054626253)"
88,1238810,"(0.7374510912779264, 0.7489415540919149)"
89,1238840,"(0.725668610405234, 0.8714442610376069)"
90,1238860,"(0.7522482587735078, 0.7770111114082604)"
91,1250,"(0.8085491649865537, 0.8276138671684486)"
92,1252780,"(0.7655601286305501, 0.9360616123735733)"
93,1256670,"(0.874031287415699, 0.7511214474351817)"
94,1258080,"(0.8765209859118092, 0.8283195179715895)"
95,1258320,"(0.9974564745738442, 0.9992487770270683)"
96,1262540,"(0.6007145321723268, 0.90436529452259)"
97,1262580,"(0.6522013387731989, 0.9193778600718429)"
98,1275350,"(0.6364979371129975, 0.9725576151928468)"
99,1279610,"(0.89119350179579, 0.9334874692716474)"
100,1281630,"(0.8757582701532023, 0.8129711699390201)"
101,1281930,"(0.7543527451614515, 0.8364308286458244)"
102,1283970,"(0.994162641339032, 0.9989628640066611)"
103,1284410,"(0.7954943670327649, 0.8022609905964475)"
104,1286830,"(0.8657775208293453, 0.6902256121621967)"
105,1318690,"(0.7923346134297661, 0.7926064570092648)"
106,1329410,"(0.8667116121213283, 0.9306326901306288)"
107,15370,"(0.9093991238943118, 0.9113220743821666)"
